iter	Passed	Remaining
455	252	1407
456	252	1406
457	253	1406
458	253	1405
459	254	1404
460	255	1406
461	255	1405
462	256	1405
463	256	1404
464	257	1403
465	257	1402
466	258	1402
467	259	1401
468	259	1400
469	260	1399
470	261	1401
471	261	1401
472	262	1401
473	263	1401
474	263	1401
475	264	1400
476	264	1399
477	265	1398
478	265	1397
479	266	1397
480	267	1400
481	268	1401
482	268	1401
483	269	1400
484	269	1399
485	270	1399
486	270	1398
487	271	1397
488	271	1396
489	272	1396
490	273	1399
491	274	1399
492	275	1398
493	275	1397
494	276	1397
495	276	1396
496	277	1395
497	277	1395
498	278	1393
499	278	1393
500	279	1395
501	280	1395
502	281	1395
503	281	1394
504	282	1393
505	282	1392
506	283	1391
507	283	1390
508	283	1389
509	284	1389
510	285	1392
511	286	1392
512	287	1392
513	287	1391
514	288	1390
515	288	1389
516	289	1389
517	289	1388
518	290	1387
519	290	1387
520	291	1388
521	292	1387
522	292	1387
523	293	1386
524	293	1385
525	294	1384
526	294	1383
527	295	1382
528	295	1382
529	296	1381
530	297	1381
531	298	1382
532	298	1383
533	299	1383
534	300	1382
535	300	1381
536	301	1380
537	301	1379
538	302	1379
539	302	1378
540	303	1380
541	304	1380
542	305	1380
543	305	1380
544	306	1379
545	306	1378
546	307	1377
547	307	1376
548	308	1376
549	308	1375
550	309	1377
551	310	1377
552	311	1377
553	311	1376
554	312	1375
555	312	1375
556	313	1374
557	313	1373
558	314	1373
559	315	1373
560	316	1378
561	317	1378
562	318	1377
563	318	1376
564	319	1375
565	319	1374
566	320	1373
567	320	1373
568	321	1372
569	322	1373
570	323	1374
571	323	1375
572	324	1374
573	324	1373
574	325	1372
575	325	1371
576	326	1371
577	326	1370
578	328	1372
579	329	1373
580	329	1372
581	330	1372
582	330	1371
583	331	1371
584	332	1370
585	332	1370
586	333	1369
587	334	1370
588	335	1371
589	335	1371
590	336	1371
591	337	1371
592	337	1370
593	338	1370
594	338	1369
595	339	1369
596	340	1370
597	341	1371
598	342	1374
599	347	1388
600	348	1390
601	349	1390
602	349	1389
603	350	1388
604	350	1388
605	351	1387
606	351	1387
607	353	1389
608	353	1389
609	354	1388
610	355	1388
611	355	1387
612	356	1387
613	356	1386
614	357	1385
615	357	1384
616	358	1384
617	359	1385
618	360	1385
619	360	1384
620	361	1383
621	361	1383
622	362	1382
623	362	1381
624	363	1381
625	364	1382
626	365	1382
627	365	1382
628	366	1381
629	366	1380
630	367	1379
631	367	1378
632	368	1377
633	368	1376
634	369	1375
635	370	1375
636	370	1375
637	371	1375
638	372	1374
639	372	1373
640	372	1372
641	373	1371
642	373	1370
643	374	1369
644	374	1368
645	375	1367
646	375	1366
647	376	1366
648	377	1366
649	377	1365
650	378	1364
651	378	1363
652	379	1362
653	379	1361
654	379	1360
655	380	1359
656	380	1358
657	381	1357
658	382	1359
659	383	1359
660	383	1358
661	384	1357
662	384	1356
663	385	1355
664	385	1354
665	386	1353
666	386	1352
667	387	1351
668	387	1350
669	388	1351
670	389	1351
671	389	1350
672	390	1349
673	390	1348
674	391	1347
675	391	1346
676	392	1345
677	392	1344
678	393	1343
679	393	1342
680	394	1343
681	395	1343
682	395	1342
683	396	1341
684	396	1340
685	397	1339
686	397	1338
687	398	1337
688	398	1336
689	398	1335
690	399	1334
691	400	1334
692	400	1334
693	401	1333
694	401	1332
695	402	1331
696	402	1330
697	403	1329
698	403	1328
699	403	1327
700	404	1326
701	404	1325
702	405	1324
703	406	1324
704	407	1324
705	407	1324
706	408	1323
707	408	1322
708	409	1321
709	409	1320
710	409	1319
711	410	1318
712	410	1317
713	411	1316
714	411	1315
715	412	1316
716	413	1315
717	413	1314
718	414	1313
719	414	1312
720	415	1311
721	415	1310
722	415	1309
723	416	1308
724	416	1307
725	417	1306
726	417	1306
727	418	1306
728	419	1306
729	419	1305
730	420	1304
731	420	1303
732	421	1302
733	421	1301
734	421	1300
735	422	1299
736	422	1298
737	423	1297
738	424	1297
739	424	1297
740	425	1296
741	425	1295
742	426	1294
743	426	1293
744	427	1292
745	427	1291
746	427	1290
747	428	1289
748	428	1288
749	429	1287
750	429	1287
751	430	1287
752	431	1286
753	431	1285
754	432	1285
755	432	1284
756	433	1283
757	433	1282
758	433	1281
759	434	1280
760	434	1279
761	435	1278
762	436	1278
763	436	1278
764	437	1277
765	437	1276
766	438	1276
767	438	1275
768	439	1274
769	439	1273
770	440	1272
771	440	1271
772	440	1270
773	441	1269
774	442	1269
775	442	1269
776	443	1268
777	443	1267
778	444	1267
779	445	1266
780	445	1265
781	445	1264
782	446	1263
783	446	1262
784	447	1261
785	447	1260
786	448	1261
787	449	1261
788	449	1260
789	450	1259
790	450	1259
791	451	1258
792	451	1257
793	452	1256
794	452	1255
795	453	1254
796	453	1253
797	454	1253
798	455	1253
799	455	1252
800	456	1252
801	456	1251
802	457	1250
803	457	1249
804	458	1248
805	458	1248
806	459	1247
807	459	1246
808	460	1246
809	460	1246
810	461	1245
811	462	1245
812	462	1244
813	463	1243
814	463	1242
815	463	1241
816	464	1240
817	464	1239
818	465	1238
819	466	1239
820	466	1238
821	467	1238
822	468	1238
823	468	1237
824	468	1236
825	469	1235
826	469	1234
827	470	1233
828	471	1233
829	471	1233
830	472	1233
831	473	1233
832	473	1232
833	474	1231
834	474	1230
835	475	1229
836	475	1228
837	475	1227
838	476	1226
839	476	1226
840	477	1225
841	478	1226
842	479	1225
843	479	1225
844	480	1224
845	480	1224
846	481	1223
847	481	1222
848	482	1221
849	482	1220
850	483	1219
851	483	1219
852	484	1219
853	485	1219
854	485	1218
855	486	1217
856	486	1217
857	487	1216
858	487	1215
859	488	1214
860	488	1213
861	488	1212
862	489	1211
863	490	1211
864	490	1211
865	491	1211
866	491	1210
867	492	1209
868	492	1208
869	493	1207
870	493	1206
871	494	1205
872	494	1204
873	494	1204
874	495	1203
875	496	1203
876	497	1203
877	497	1202
878	498	1201
879	498	1200
880	498	1200
881	499	1199
882	499	1198
883	500	1197
884	500	1196
885	501	1195
886	501	1195
887	502	1195
888	503	1196
889	504	1195
890	504	1194
891	505	1193
892	505	1193
893	506	1192
894	506	1191
895	506	1190
896	507	1189
897	508	1189
898	508	1189
899	509	1188
900	509	1188
901	510	1187
902	510	1186
903	511	1185
904	511	1184
905	512	1183
906	512	1182
907	513	1181
908	513	1181
909	514	1180
910	514	1180
911	515	1180
912	515	1179
913	516	1178
914	516	1177
915	517	1176
916	517	1176
917	518	1175
918	518	1174
919	519	1174
920	519	1173
921	520	1173
922	521	1173
923	521	1172
924	522	1172
925	522	1171
926	523	1170
927	523	1169
928	524	1168
929	524	1167
930	525	1167
931	525	1166
932	526	1166
933	526	1165
934	527	1165
935	528	1164
936	528	1163
937	528	1162
938	529	1161
939	529	1160
940	530	1160
941	530	1159
942	531	1158
943	531	1157
944	532	1157
945	532	1157
946	533	1156
947	533	1155
948	534	1155
949	534	1154
950	535	1153
951	535	1152
952	536	1152
953	536	1151
954	537	1150
955	538	1150
956	538	1150
957	539	1149
958	539	1149
959	540	1148
960	540	1147
961	541	1146
962	541	1145
963	542	1144
964	542	1144
965	543	1143
966	543	1142
967	544	1143
968	545	1142
969	545	1142
970	546	1141
971	546	1140
972	547	1139
973	547	1138
974	547	1138
975	548	1137
976	548	1136
977	549	1135
978	550	1135
979	550	1135
980	551	1134
981	551	1134
982	552	1133
983	552	1132
984	553	1132
985	553	1131
986	554	1130
987	554	1129
988	555	1129
989	555	1128
990	556	1127
991	557	1127
992	557	1126
993	558	1126
994	558	1125
995	558	1124
996	559	1123
997	559	1122
998	560	1121
999	560	1121
1000	561	1120
1001	561	1120
1002	562	1120
1003	563	1119
1004	563	1119
1005	564	1118
1006	564	1117
1007	565	1117
1008	565	1116
1009	566	1115
1010	566	1114
1011	567	1114
1012	567	1114
1013	568	1113
1014	569	1113
1015	570	1113
1016	570	1112
1017	571	1111
1018	571	1111
1019	572	1110
1020	572	1109
1021	572	1108
1022	573	1108
1023	574	1108
1024	575	1108
1025	575	1108
1026	576	1107
1027	576	1106
1028	577	1105
1029	577	1104
1030	578	1104
1031	578	1103
1032	578	1102
1033	579	1101
1034	580	1101
1035	580	1101
1036	581	1100
1037	581	1100
1038	582	1099
1039	582	1098
1040	583	1097
1041	583	1096
1042	584	1096
1043	584	1095
1044	585	1094
1045	585	1093
1046	586	1094
1047	587	1093
1048	587	1093
1049	588	1092
1050	588	1091
1051	589	1090
1052	589	1090
1053	590	1089
1054	590	1088
1055	591	1088
1056	591	1087
1057	592	1087
1058	593	1087
1059	593	1086
1060	594	1085
1061	594	1084
1062	595	1084
1063	595	1083
1064	595	1082
1065	596	1081
1066	596	1081
1067	597	1080
1068	597	1080
1069	599	1080
1070	599	1080
1071	600	1079
1072	600	1079
1073	601	1078
1074	601	1077
1075	602	1076
1076	602	1076
1077	603	1075
1078	603	1074
1079	604	1074
1080	605	1074
1081	605	1073
1082	606	1072
1083	606	1072
1084	607	1071
1085	607	1070
1086	608	1070
1087	608	1069
1088	608	1068
1089	609	1068
1090	610	1068
1091	611	1067
1092	611	1067
1093	612	1066
1094	612	1066
1095	613	1065
1096	613	1064
1097	614	1064
1098	614	1063
1099	615	1062
1100	616	1062
1101	616	1061
1102	617	1061
1103	617	1061
1104	618	1060
1105	618	1059
1106	619	1058
1107	619	1058
1108	620	1057
1109	620	1057
1110	621	1056
1111	622	1056
1112	622	1056
1113	623	1055
1114	624	1055
1115	624	1054
1116	625	1053
1117	625	1053
1118	626	1052
1119	626	1051
1120	627	1051
1121	627	1050
1122	628	1050
1123	629	1050
1124	629	1049
1125	630	1049
1126	630	1048
1127	631	1047
1128	631	1047
1129	632	1046
1130	632	1045
1131	633	1045
1132	634	1045
1133	635	1045
1134	635	1044
1135	636	1044
1136	636	1043
1137	637	1043
1138	638	1042
1139	638	1041
1140	639	1041
1141	640	1042
1142	641	1042
1143	641	1041
1144	642	1040
1145	642	1040
1146	643	1039
1147	643	1038
1148	644	1038
1149	644	1037
1150	645	1036
1151	646	1036
1152	647	1036
1153	647	1035
1154	648	1035
1155	648	1034
1156	649	1034
1157	649	1033
1158	650	1033
1159	650	1032
1160	652	1033
1161	652	1032
1162	653	1032
1163	654	1031
1164	654	1031
1165	655	1030
1166	655	1030
1167	656	1029
1168	656	1028
1169	657	1028
1170	658	1028
1171	659	1028
1172	659	1027
1173	660	1027
1174	660	1026
1175	661	1025
1176	662	1025
1177	662	1024
1178	662	1024
1179	663	1023
1180	665	1024
1181	665	1024
1182	666	1023
1183	667	1023
1184	667	1022
1185	668	1022
1186	668	1021
1187	669	1020
1188	670	1020
1189	671	1020
1190	671	1020
1191	672	1020
1192	673	1019
1193	673	1018
1194	674	1018
1195	674	1017
1196	675	1016
1197	675	1016
1198	677	1016
1199	677	1016
1200	678	1016
1201	678	1015
1202	679	1014
1203	679	1014
1204	680	1013
1205	680	1012
1206	681	1012
1207	682	1011
1208	682	1011
1209	683	1011
1210	684	1010
1211	684	1010
1212	685	1009
1213	685	1008
1214	686	1008
1215	686	1007
1216	687	1007
1217	688	1007
1218	689	1006
1219	690	1006
1220	690	1006
1221	691	1005
1222	691	1004
1223	692	1004
1224	692	1003
1225	693	1002
1226	693	1002
1227	694	1001
1228	695	1002
1229	696	1001
1230	697	1001
1231	697	1001
1232	698	1000
1233	698	999
1234	699	999
1235	699	998
1236	700	998
1237	703	1001
1238	704	1000
1239	704	1000
1240	705	999
1241	706	999
1242	707	999
1243	707	999
1244	708	998
1245	709	998
1246	709	997
1247	710	996
1248	710	996
1249	711	995
1250	711	995
1251	712	995
1252	713	995
1253	714	994
1254	714	993
1255	715	993
1256	715	992
1257	716	992
1258	717	991
1259	717	990
1260	718	990
1261	719	990
1262	719	990
1263	720	989
1264	721	988
1265	721	988
1266	722	987
1267	722	987
1268	723	986
1269	723	985
1270	724	986
1271	725	986
1272	726	985
1273	726	984
1274	727	984
1275	728	983
1276	728	983
1277	729	982
1278	729	981
1279	730	982
1280	731	981
1281	732	981
1282	732	980
1283	733	980
1284	733	979
1285	734	978
1286	734	978
1287	735	977
1288	736	977
1289	737	977
1290	737	976
1291	738	976
1292	738	975
1293	739	974
1294	739	974
1295	740	973
1296	740	972
1297	741	971
1298	742	972
1299	743	972
1300	743	971
1301	744	971
1302	744	970
1303	745	969
1304	745	968
1305	746	968
1306	746	967
1307	747	966
1308	748	966
1309	748	966
1310	749	965
1311	750	965
1312	750	964
1313	751	963
1314	751	963
1315	752	962
1316	752	961
1317	753	961
1318	753	960
1319	754	960
1320	755	959
1321	756	959
1322	756	959
1323	757	958
1324	757	957
1325	758	957
1326	758	956
1327	759	955
1328	759	954
1329	760	954
1330	760	954
1331	761	953
1332	762	953
1333	762	952
1334	763	951
1335	763	950
1336	763	950
1337	764	949
1338	764	948
1339	765	947
1340	765	947
1341	766	947
1342	767	946
1343	767	946
1344	768	945
1345	769	945
1346	769	944
1347	770	943
1348	770	943
1349	771	942
1350	772	942
1351	772	941
1352	773	941
1353	773	940
1354	774	940
1355	774	939
1356	775	938
1357	775	937
1358	776	937
1359	776	936
1360	777	935
1361	778	936
1362	778	935
1363	779	934
1364	779	934
1365	780	933
1366	780	932
1367	781	932
1368	781	931
1369	782	930
1370	782	929
1371	783	929
1372	784	929
1373	784	928
1374	785	928
1375	785	927
1376	786	926
1377	786	926
1378	787	925
1379	787	924
1380	788	923
1381	788	923
1382	788	922
1383	789	921
1384	790	921
1385	790	921
1386	791	920
1387	792	919
1388	792	919
1389	792	918
1390	793	917
1391	793	916
1392	794	916
1393	794	915
1394	795	914
1395	796	914
1396	796	914
1397	797	913
1398	797	913
1399	798	912
1400	798	911
1401	799	910
1402	799	910
1403	800	909
1404	800	908
1405	800	908
1406	801	907
1407	802	907
1408	803	907
1409	803	906
1410	804	905
1411	804	905
1412	805	904
1413	805	903
1414	806	902
1415	806	902
1416	806	901
1417	807	900
1418	808	900
1419	809	900
1420	809	899
1421	810	899
1422	810	898
1423	811	897
1424	811	896
1425	812	896
1426	812	895
1427	812	894
1428	813	894
1429	814	894
1430	815	893
1431	815	892
1432	815	892
1433	816	891
1434	816	890
1435	817	890
1436	817	889
1437	818	888
1438	818	887
1439	819	887
1440	819	886
1441	820	886
1442	820	885
1443	821	885
1444	821	884
1445	822	883
1446	822	883
1447	823	882
1448	823	881
1449	824	880
1450	824	880
1451	824	879
1452	825	878
1453	826	878
1454	827	878
1455	827	877
1456	828	876
1457	828	876
1458	828	875
1459	829	874
1460	829	874
1461	830	873
1462	830	872
1463	831	871
1464	831	871
1465	832	871
1466	833	870
1467	833	869
1468	834	869
1469	834	868
1470	835	868
1471	835	867
1472	836	866
1473	836	866
1474	837	865
1475	837	864
1476	838	864
1477	838	863
1478	839	863
1479	840	862
1480	840	862
1481	840	861
1482	841	860
1483	841	859
1484	842	859
1485	842	858
1486	843	857
1487	843	857
1488	844	857
1489	845	856
1490	845	855
1491	846	855
1492	846	854
1493	846	853
1494	847	853
1495	847	852
1496	848	851
1497	848	851
1498	849	850
1499	849	849
1500	850	849
1501	851	848
1502	851	848
1503	852	847
1504	852	846
1505	853	846
1506	853	845
1507	854	844
1508	854	844
1509	854	843
1510	855	842
1511	856	842
1512	856	842
1513	857	841
1514	857	840
1515	858	840
1516	858	839
1517	859	838
1518	859	838
1519	860	837
1520	860	836
1521	861	836
1522	861	835
1523	862	835
1524	863	834
1525	863	834
1526	864	833
1527	864	832
1528	864	832
1529	865	831
1530	865	830
1531	866	830
1532	866	829
1533	867	828
1534	867	828
1535	868	827
1536	869	827
1537	869	826
1538	869	825
1539	870	825
1540	870	824
1541	871	823
1542	871	823
1543	872	822
1544	872	821
1545	873	821
1546	874	821
1547	875	820
1548	875	820
1549	876	819
1550	876	819
1551	877	818
1552	877	818
1553	878	817
1554	879	816
1555	879	816
1556	880	815
1557	881	815
1558	881	814
1559	882	814
1560	882	813
1561	882	812
1562	883	812
1563	883	811
1564	884	810
1565	884	810
1566	885	809
1567	885	808
1568	886	808
1569	887	808
1570	887	807
1571	888	807
1572	888	806
1573	889	805
1574	889	805
1575	890	804
1576	890	803
1577	891	803
1578	892	802
1579	893	802
1580	893	802
1581	894	801
1582	894	801
1583	895	800
1584	895	799
1585	896	799
1586	896	798
1587	897	797
1588	897	797
1589	898	797
1590	899	796
1591	899	795
1592	900	795
1593	901	794
1594	901	794
1595	902	793
1596	903	793
1597	903	793
1598	904	792
1599	905	792
1600	906	791
1601	906	791
1602	907	790
1603	908	790
1604	908	789
1605	909	789
