iter	RMSE
0	139.528806
1	137.271398
2	134.9383699
3	132.7383165
4	130.7512775
5	128.5650257
6	126.5318244
7	124.5689737
8	122.7761935
9	120.9107555
10	119.1661893
11	117.4841162
12	115.9432729
13	114.4893332
14	113.0113672
15	111.5205824
16	110.0633792
17	108.5439397
18	107.2328618
19	105.8756297
20	104.5892856
21	103.3491265
22	102.2270295
23	101.1137957
24	99.967335
25	98.99488819
26	98.01803228
27	97.03246383
28	95.99525947
29	95.10553737
30	94.12405498
31	93.29083674
32	92.5057191
33	91.65180904
34	90.84511631
35	90.01051762
36	89.18343679
37	88.43341684
38	87.6503273
39	86.82014761
40	86.0633989
41	85.39994433
42	84.71906528
43	84.01661746
44	83.43960535
45	82.77515788
46	82.20764386
47	81.69134059
48	81.16199406
49	80.57271069
50	80.15284417
51	79.62365774
52	79.11288736
53	78.62282515
54	78.25924427
55	77.78549566
56	77.37090424
57	76.94278494
58	76.53726356
59	76.16116593
60	75.72764138
61	75.29373501
62	74.90807742
63	74.54869098
64	74.13573865
65	73.8334016
66	73.55388777
67	73.2287354
68	72.99041394
69	72.7769268
70	72.52119846
71	72.19537991
72	71.89416467
73	71.64298754
74	71.32896
75	71.0136658
76	70.67459695
77	70.39076413
78	70.11790415
79	69.91364112
80	69.70291021
81	69.42878423
82	69.154335
83	68.88329296
84	68.6540768
85	68.36216337
86	68.18494434
87	67.88802846
88	67.71326378
89	67.5708927
90	67.43587053
91	67.17993598
92	66.99518242
93	66.83798441
94	66.59494097
95	66.45254977
96	66.29989428
97	66.07752734
98	65.91018694
99	65.69932264
100	65.48878987
101	65.30559683
102	65.14485599
103	64.92066032
104	64.73669054
105	64.57352913
106	64.37799297
107	64.2186216
108	64.1146283
109	63.8971299
110	63.73203877
111	63.59634701
112	63.46397009
113	63.32227427
114	63.09368827
115	62.88622133
116	62.7193073
117	62.62482724
118	62.49564804
119	62.36886824
120	62.18336816
121	62.05633773
122	61.954209
123	61.8066605
124	61.63446803
125	61.5046589
126	61.36562606
127	61.2180867
128	61.04449948
129	60.92388093
130	60.83052411
131	60.70224437
132	60.57887849
133	60.48891388
134	60.35812076
135	60.23445707
136	60.06369925
137	60.00610879
138	59.90051511
139	59.78282144
140	59.64829431
141	59.57117442
142	59.44836961
143	59.41756887
144	59.3264417
145	59.16804595
146	59.08348196
147	58.96530709
148	58.85097219
149	58.74961121
150	58.63523397
151	58.56782564
152	58.45034666
153	58.35539236
154	58.21920283
155	58.0973416
156	57.97008903
157	57.90850397
158	57.79990331
159	57.66369909
160	57.54760389
161	57.44727429
162	57.34345795
163	57.25382416
164	57.13144452
165	57.05580628
166	56.97494513
167	56.92381164
168	56.85324031
169	56.81430262
170	56.73762684
171	56.6834754
172	56.62669446
173	56.55466778
174	56.47981214
175	56.41411399
176	56.33688129
177	56.24757013
178	56.12218259
179	56.07174608
180	56.01142418
181	55.92181865
182	55.79464299
183	55.69747055
184	55.61066376
185	55.5414898
186	55.4976802
187	55.39650706
188	55.34558541
189	55.29086515
190	55.20400357
191	55.13348278
192	55.08300121
193	55.01462565
194	54.94389708
195	54.89451993
196	54.81502858
197	54.72280341
198	54.63094354
199	54.55866367
200	54.53457694
201	54.47677762
202	54.44214626
203	54.35355008
204	54.28799864
205	54.22429719
206	54.1643137
207	54.11764734
208	54.08074684
209	54.01261964
210	53.94578189
211	53.8535088
212	53.77021774
213	53.70670756
214	53.61108694
215	53.54073248
216	53.4454308
217	53.38820882
218	53.29414116
219	53.24638792
220	53.15566729
221	53.09930138
222	53.04498776
223	52.98681558
224	52.9120517
225	52.85148998
226	52.77760781
227	52.72306101
228	52.65883993
229	52.58810001
230	52.5191362
231	52.43904745
232	52.3566731
233	52.3320232
234	52.28914971
235	52.23989796
236	52.15606884
237	52.09837295
238	52.03723082
239	51.98533611
240	51.95786692
241	51.9304239
242	51.82365736
243	51.77583481
244	51.72161506
245	51.66106542
246	51.59257972
247	51.5289705
248	51.46961352
249	51.41968041
250	51.369995
251	51.32092373
252	51.22751818
253	51.16364902
254	51.08912084
255	51.06179943
256	51.04029321
257	50.97755988
258	50.94531877
259	50.91705487
260	50.85658112
261	50.79281526
262	50.72109572
263	50.68398805
264	50.64336577
265	50.61112333
266	50.57173179
267	50.51299049
268	50.43228969
269	50.37826567
270	50.28945927
271	50.25141473
272	50.21967245
273	50.18684103
274	50.13270942
275	50.0949168
276	50.05092966
277	50.01569666
278	49.94262073
279	49.88044392
280	49.85291718
281	49.8045206
282	49.76786841
283	49.74379035
284	49.66515027
285	49.62217693
286	49.55577374
287	49.50362554
288	49.4466575
289	49.40218731
290	49.35866366
291	49.33237766
292	49.26551876
293	49.20294784
294	49.12565787
295	49.08542624
296	49.04728834
297	49.02384981
298	48.95204288
299	48.8864279
300	48.81953901
301	48.77230243
302	48.74510609
303	48.69307266
304	48.62132628
305	48.56040738
306	48.47309575
307	48.43503153
308	48.35095923
309	48.31925375
310	48.25737937
311	48.18578657
312	48.13315119
313	48.10414907
314	48.03785765
315	48.00365982
316	47.94898924
317	47.90901952
318	47.83959115
319	47.81010092
320	47.75368302
321	47.68244401
322	47.6315968
323	47.57074655
324	47.50937368
325	47.48701091
326	47.44452947
327	47.37068283
328	47.32759626
329	47.26640323
330	47.20551957
331	47.15418562
332	47.08228818
333	47.02005443
334	46.97719933
335	46.93548228
336	46.87620853
337	46.85610688
338	46.77369276
339	46.72586482
340	46.70142644
341	46.6618334
342	46.61151856
343	46.57426141
344	46.52905325
345	46.50413834
346	46.45648157
347	46.41410626
348	46.36987454
349	46.32197544
350	46.28148107
351	46.21045128
352	46.14936006
353	46.08705154
354	46.02336195
355	45.99805414
356	45.93887827
357	45.87387938
358	45.80263812
359	45.75715159
360	45.71827748
361	45.65734875
362	45.60509099
363	45.54019617
364	45.4839677
365	45.44390009
366	45.39514625
367	45.34284144
368	45.31572074
369	45.26058299
370	45.20325324
371	45.15239641
372	45.09265458
373	45.04516138
374	45.00717961
375	44.98426993
376	44.94370917
377	44.892678
378	44.84740294
379	44.8096176
380	44.74038113
381	44.70249009
382	44.65673201
383	44.64730534
384	44.59810744
385	44.55720705
386	44.49351335
387	44.43710975
388	44.3823129
389	44.32836089
390	44.27428226
391	44.21197865
392	44.16376982
393	44.13150389
394	44.06544441
395	44.0181229
396	43.97583172
397	43.92229531
398	43.86505972
399	43.80953497
400	43.74346023
401	43.69214532
402	43.6513767
403	43.59895608
404	43.55207083
405	43.49711234
406	43.44480721
407	43.37849135
408	43.33726947
409	43.29018144
410	43.24098169
411	43.17440711
412	43.13821357
413	43.07846191
414	43.04180957
415	42.98480774
416	42.94976314
417	42.9275862
418	42.89522104
419	42.85407705
420	42.8093253
421	42.76093729
422	42.71523111
423	42.68297679
424	42.63461593
425	42.60495644
426	42.57594924
427	42.53430829
428	42.49507238
429	42.462385
430	42.41485572
431	42.36948165
432	42.3364644
433	42.29505929
434	42.25266074
435	42.2183085
436	42.1807893
437	42.1476096
438	42.10827829
439	42.0477745
440	42.00924101
441	41.96924709
442	41.93735017
443	41.90024615
444	41.83457758
445	41.78169181
446	41.74115164
447	41.70550949
448	41.68260113
449	41.65846247
450	41.59810624
451	41.5658174
452	41.52781589
453	41.50196127
